id,personaje,atuendo,origen,archivo_local,url_fuente_oficial,licencia_o_permiso
ff1-arylon-apariencia_principal,Arylon,Apariencia principal,Final Fantasy I,,https://na.finalfantasy.com/titles/finalfantasy,uso personal; verificar antes de redistribuir
ff3-arc-bard,Arc,Bard,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-black_belt,Arc,Black Belt,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-black_mage,Arc,Black Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-dark_knight,Arc,Dark Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-devout,Arc,Devout,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-dragoon,Arc,Dragoon,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-evoker,Arc,Evoker,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-freelancer,Arc,Freelancer,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-geomancer,Arc,Geomancer,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-knight,Arc,Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-magus,Arc,Magus,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-monk,Arc,Monk,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-ninja,Arc,Ninja,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-onion_knight,Arc,Onion Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-ranger,Arc,Ranger,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-red_mage,Arc,Red Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-sage,Arc,Sage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-scholar,Arc,Scholar,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-summoner,Arc,Summoner,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-thief,Arc,Thief,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-viking,Arc,Viking,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-warrior,Arc,Warrior,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-arc-white_mage,Arc,White Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-aria_benett-apariencia_principal,Aria Benett,Apariencia principal,Final Fantasy III,,https://na.finalfantasy.com/titles/finalfantasy3,uso personal; verificar antes de redistribuir
ff3-cid_haze-apariencia_principal,Cid Haze,Apariencia principal,Final Fantasy III,,https://na.finalfantasy.com/titles/finalfantasy3,uso personal; verificar antes de redistribuir
ff3-desch-apariencia_principal,Desch,Apariencia principal,Final Fantasy III,,https://na.finalfantasy.com/titles/finalfantasy3,uso personal; verificar antes de redistribuir
ff3-doga-apariencia_principal,Doga,Apariencia principal,Final Fantasy III,,https://na.finalfantasy.com/titles/finalfantasy3,uso personal; verificar antes de redistribuir
ff3-ingus-bard,Ingus,Bard,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-black_belt,Ingus,Black Belt,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-black_mage,Ingus,Black Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-dark_knight,Ingus,Dark Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-devout,Ingus,Devout,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-dragoon,Ingus,Dragoon,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-evoker,Ingus,Evoker,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-freelancer,Ingus,Freelancer,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-geomancer,Ingus,Geomancer,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-knight,Ingus,Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-magus,Ingus,Magus,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-monk,Ingus,Monk,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-ninja,Ingus,Ninja,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-onion_knight,Ingus,Onion Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-ranger,Ingus,Ranger,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-red_mage,Ingus,Red Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-sage,Ingus,Sage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-scholar,Ingus,Scholar,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-summoner,Ingus,Summoner,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-thief,Ingus,Thief,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-viking,Ingus,Viking,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-warrior,Ingus,Warrior,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-ingus-white_mage,Ingus,White Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-bard,Luneth,Bard,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-black_belt,Luneth,Black Belt,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-black_mage,Luneth,Black Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-dark_knight,Luneth,Dark Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-devout,Luneth,Devout,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-dragoon,Luneth,Dragoon,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-evoker,Luneth,Evoker,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-freelancer,Luneth,Freelancer,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-geomancer,Luneth,Geomancer,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-knight,Luneth,Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-magus,Luneth,Magus,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-monk,Luneth,Monk,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-ninja,Luneth,Ninja,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-onion_knight,Luneth,Onion Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-ranger,Luneth,Ranger,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-red_mage,Luneth,Red Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-sage,Luneth,Sage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-scholar,Luneth,Scholar,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-summoner,Luneth,Summoner,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-thief,Luneth,Thief,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-viking,Luneth,Viking,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-warrior,Luneth,Warrior,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-luneth-white_mage,Luneth,White Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-bard,Refia,Bard,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-black_belt,Refia,Black Belt,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-black_mage,Refia,Black Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-dark_knight,Refia,Dark Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-devout,Refia,Devout,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-dragoon,Refia,Dragoon,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-evoker,Refia,Evoker,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-freelancer,Refia,Freelancer,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-geomancer,Refia,Geomancer,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-knight,Refia,Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-magus,Refia,Magus,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-monk,Refia,Monk,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-ninja,Refia,Ninja,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-onion_knight,Refia,Onion Knight,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-ranger,Refia,Ranger,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-red_mage,Refia,Red Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-sage,Refia,Sage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-scholar,Refia,Scholar,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-summoner,Refia,Summoner,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-thief,Refia,Thief,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-viking,Refia,Viking,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-warrior,Refia,Warrior,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-refia-white_mage,Refia,White Mage,Final Fantasy III,,https://finalfantasy.fandom.com/wiki/Final_Fantasy_III_jobs,uso personal; verificar antes de redistribuir
ff3-sara_altney-apariencia_principal,Sara Altney,Apariencia principal,Final Fantasy III,,https://na.finalfantasy.com/titles/finalfantasy3,uso personal; verificar antes de redistribuir
ff3-unei-apariencia_principal,Unei,Apariencia principal,Final Fantasy III,,https://na.finalfantasy.com/titles/finalfantasy3,uso personal; verificar antes de redistribuir
ff4-cecil_harvey-dark_knight,Cecil Harvey,Dark Knight,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-cecil_harvey-paladin,Cecil Harvey,Paladin,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-cid_pollendina-apariencia_principal,Cid Pollendina,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-edge_geraldine-apariencia_principal,Edge Geraldine,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-edward_chris_von_muir-apariencia_principal,Edward Chris von Muir,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-fusoya-apariencia_principal,Fusoya,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-golbez-apariencia_principal,Golbez,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-kain_highwind-apariencia_principal,Kain Highwind,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-palom-apariencia_principal,Palom,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-porom-apariencia_principal,Porom,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-rosa_joanna_farrell-apariencia_principal,Rosa Joanna Farrell,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-rydia-rydia_adulta,Rydia,Rydia adulta,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-rydia-rydia_nina,Rydia,Rydia niña,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-tellah-apariencia_principal,Tellah,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff4-yang_fang_leiden-apariencia_principal,Yang Fang Leiden,Apariencia principal,Final Fantasy IV,,https://na.finalfantasy.com/titles/finalfantasy4,uso personal; verificar antes de redistribuir
ff9-adelbert_steiner-apariencia_principal,Adelbert Steiner,Apariencia principal,Final Fantasy IX,,https://na.finalfantasy.com/titles/finalfantasy9,uso personal; verificar antes de redistribuir
ff9-amarant_coral-apariencia_principal,Amarant Coral,Apariencia principal,Final Fantasy IX,,https://na.finalfantasy.com/titles/finalfantasy9,uso personal; verificar antes de redistribuir
ff9-ark-apariencia_principal,Ark,Apariencia principal,Final Fantasy IX,,https://na.finalfantasy.com/titles/finalfantasy9,uso personal; verificar antes de redistribuir
ff9-atomos-apariencia_principal,Atomos,Apariencia principal,Final Fantasy IX,,https://na.finalfantasy.com/titles/finalfantasy9,uso personal; verificar antes de redistribuir
ff9-bahamut-apariencia_principal,Bahamut,Apariencia principal,Final Fantasy IX,,https://na.finalfantasy.com/titles/finalfantasy9,uso personal; verificar antes de redistribuir
ff9-baku-apariencia_principal,Baku,Apariencia principal,Final Fantasy IX,,https://na.finalfantasy.com/titles/finalfantasy9,uso personal; verificar antes de redistribuir
ff9-beatrix-apariencia_principal,Beatrix,Apariencia principal,Final Fantasy IX,,https://na.finalfantasy.com/titles/finalfantasy9,uso personal; verificar antes de redistribuir
ff9-blank-apariencia_principal,Blank,Apariencia principal,Final Fantasy IX,,https://na.finalfantasy.com/titles/finalfantasy9,uso personal; verificar antes de redistribuir
ff9-carbuncle-apariencia_principal,Carbuncle,Apariencia principal,Final Fantasy IX,,https://na.finalfantasy.com/titles/finalfantasy9,uso personal; verificar antes de redistribuir
